sample	medianCoverage	%Coverage>10x
210284	8.29	43.47
210104	0	13.38
210216	2.13	19.4
210293	36.09	70.23
210288	86.2	79.59
210296	251.13	91.63
211194	152.03	88.95
210292	218.39	91.63
210377	707.87	96.98
2018185	0	4.68
210217	0	4.01
210291	0	2.01
210103	0	2.01
210137	9.5	49.49
210067	0	12.04
210234	47.66	78.92
210275	0	3.34
210286	0	7.36
210287	0	4.68
211147	7.21	44.14
210206	0	3.69
211202	0.32	20.06
210215	0	0.67
210236	19.42	60.86
210238	0	6.02
211154	655.93	96.66
210219	68.39	72.23
210186	106.49	82.93
210189	200.54	89.62
210190	1348.74	98.32
210194	33.88	74.24
210191	228.69	87.62
210198	200.27	88.29
210205	21.36	61.53
210207	140.49	86.95
210208	120.75	82.93
210290	440.92	94.3
210213	6.07	43.47
210214	674.38	94.97
210241	1308.36	99.66
210276	146.35	88.29
210279	842.15	98.99
210282	1038.8	98.99
210281	102.64	86.95
210294	688.98	95.64
211188	351.4	93.64
211213	422.3	94.3
210297	967.14	97.65
211197	417.52	93.64
211200	556.46	95.64
211204	290.64	93.64
211209	582.12	94.97
211206	1150.94	98.32
211208	83.87	80.26
211214	669.12	97.65
211216	618.2	95.64
211132	229.23	91.63
211215	283.9	90.96
211141	461.14	94.3
211225	124.62	82.93
211228	323.6	94.3
211229	828.58	95.64
211311	967.54	98.32
211314	271.62	93.64
210295	155.54	92.3
211318	1880.88	99.66
210357	288.08	94.97
210358	725.19	94.97
210298	1234.51	98.99
210356	550.6	93.64
210355	139.2	86.95
211149	719.86	94.97
211144	67.78	81.6
211158	107.97	86.95
211162	442.1	91.63
211168	525.36	92.97
211171	189.59	90.96
211174	496.14	92.97
211172	567.86	94.97
211184	578.64	94.3
211182	585.07	94.3
211186	810.02	96.31
211189	772.41	96.31
211227	0	2.01
210081_2	294.3	91.63
210140	438.9	94.97
210202	1037.22	98.99
210203	117.72	84.27
210197	31.19	68.89
210283	446.08	95.64
210289	44.3	73.57
210218	30.86	65.55
210235	358.69	92.97
210220	472.03	94.3
210239	523.03	94.3
210237	598.71	96.98
210240	246.88	91.63
211312	739.57	96.31
211219	1530.54	98.32
211310	3147.96	99.66
211193	1233.49	96.98
2018086	1804.46	99.66
2018102	672.57	92.3
2018115	228.82	83.6
2018109	1246.55	97.65
2018136	525.47	94.3
2018110	1715.36	98.32
2018142	786.54	94.97
2018137	3517.01	98.99
2018143	1701.89	98.32
2018138	288.62	88.95
2018144	183.68	87.62
2018145	0.93	10.7
2018148	1.54	13.38
2018151	74.74	81.6
2018149	35.41	67.55
2018150	0	3.69
2018152	0.11	11.37
2018162	0.39	9.36
2018161	79.97	85.61
2018163	1330.31	98.32
2018164	286.9	92.97
2018157	2.54	22.07
2018167	1912.65	99.66
2018169	1213.52	98.99
2018166	1825.26	99.66
2018165	1518.28	98.99
2018171	89.36	82.93
2018168	1921.51	98.99
2018172	1799.79	99.66
2018173	361.98	94.97
2018176	647.94	94.97
2018170	1748.59	99.66
2018174	1129.49	98.99
2018178	1822.66	98.99
2018177	544.81	94.97
2018180	1039.66	96.98
2018175	287.96	91.63
2018181	3043.04	99.66
2018183	1373.93	97.65
2018188	42.98	71.56
2018179	1734.72	98.99
2018184	455.98	94.3
2018186	123.86	82.93
2018194	1564.03	99.66
2018195	131.3	88.29
2018189	115.15	84.27
2018196	1107.98	98.99
2018191	8.91	48.82
2018197	674.72	96.98
210001	6.11	38.79
210002	6.46	44.81
210004	12.34	52.84
2018190	109.75	84.94
210008	991.86	96.98
210005	0.67	5.35
210011	198.48	90.29
210007	86.11	78.92
210009	872.21	98.32
210012	707.1	97.65
210032	2526.93	99.66
210038	1701.97	99.66
210031	1741.76	98.32
210013	273.05	91.63
210034	2803.21	99.66
210055	6.78	45.48
210033	1946.6	99.66
210040	38.47	75.25
210046	0	9.04
210047	1621.52	98.99
210044	0	9.04
210066	1395.11	98.32
210062	1127.53	96.98
210077	24.41	68.22
210065	620.18	94.3
210076	1049.58	96.98
210080	7550.58	99.66
210078	862.26	97.65
210079	37.98	69.23
210083	28.89	67.55
210087	0	7.7
210081	1312.15	98.99
210088	0.86	16.4
210091	928.53	94.3
210086	51.41	75.25
210093	896.55	94.97
210089	612.81	96.31
210090	546.84	95.64
210096	2011.97	99.66
210097	193.06	89.62
210100	6.15	21.08
210094	1549.11	98.32
210095	427.19	94.3
210107	0	3.02
210099	1611.34	98.99
210136	2018.24	98.99
210108	307.4	92.97
210106	0.03	23.08
210138	62.8	81.94
210139	1095.71	96.98
210141	626.14	94.3
210142	1173.8	97.65
210135	2152.04	98.99
210143	99.16	83.6
210144	912.66	96.31
210145	1948.05	98.99
210146	32.31	68.89
210150	7.77	44.14
210147	160.27	89.62
210148	1135.61	96.31
210153	2367.19	98.99
210156	1231.9	96.31
210152	930.78	96.98
210154	189.1	88.29
210159	1668.58	98.32
210160	1887.11	98.99
210155	1093.23	96.98
