Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
2018086.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	1629.63
2018102.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.02	29903	29903	1	1	8487.44
2018109.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	2927.99
2018110.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.96	29887	29887	1	1	1579.28
2018136.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.09	29884	29884	1	1	7043.90
2018137.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.97	29903	29903	1	1	2167.01
2018138.consensus	1	1	1	1	1	0	29897	29897	29897	29897	29897	0	1	29897	29897	37.81	29897	29897	1	1	17175.64
2018142.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	6337.84
2018143.consensus	1	1	1	1	1	0	29904	29904	29904	29904	29904	0	1	29904	29904	38.00	29904	29904	1	1	1661.99
2018144.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.08	29887	29887	1	1	16538.96
2018151.consensus	1	1	1	1	1	0	29896	29896	29896	29896	29896	0	1	29896	29896	38.01	29896	29896	1	1	24749.13
2018161.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.05	29893	29893	1	1	18633.12
2018163.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	3132.11
2018164.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.02	29903	29903	1	1	9099.42
2018165.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.96	29903	29903	1	1	1193.86
2018166.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.95	29903	29903	1	1	675.52
2018167.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.95	29902	29902	1	1	1310.95
2018168.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.97	29902	29902	1	1	976.52
2018169.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.96	29903	29903	1	1	989.87
2018170.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.94	29902	29902	1	1	1006.62
2018171.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.16	29903	29903	1	1	19840.82
2018172.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.97	29903	29903	1	1	976.49
2018173.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.98	29903	29903	1	1	8293.48
2018174.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.97	29902	29902	1	1	1491.54
2018175.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.05	29903	29903	1	1	8557.67
2018176.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.10	29903	29903	1	1	6798.65
2018177.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.03	29903	29903	1	1	7337.06
2018178.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.99	29903	29903	1	1	1541.65
